index,state,shap_value
482,Goa,38659.7327715784
483,Gujarat,23304.387975195674
484,Jammu and Kashmir,-38587.25221877613
485,Jharkhand,-41984.799184458076
486,Karnataka,-6065.764243837135
487,Kerala,-23926.44165411087
488,Madhya Pradesh,-12299.067780837126
489,Maharashtra,5963.950838036345
490,NCT of Delhi,157823.71795890725
491,Odisha,-60806.923960469256
492,Punjab,-69182.85935776467
493,Rajasthan,-68902.11601718745
494,Tamil Nadu,-25032.334917052343
495,Telangana,5213.071404269578
496,Uttar Pradesh,37674.301557528466
497,West Bengal,36874.15196560834
498,Andaman and Nicobar,-225161.9243009258
499,Andhra Pradesh,-144252.5954446857
500,Assam,-164629.56491610644
501,Bihar,102154.39166436088
502,Chandigarh,134342.36486712465
503,Goa,25029.337629653164
504,Gujarat,30305.474169039895
505,Jammu and Kashmir,-228196.47670575502
506,Jharkhand,-237885.05481604868
507,Karnataka,131574.79634094535
508,Kerala,-8372.92567355638
509,Madhya Pradesh,-117383.86005686861
510,Maharashtra,114901.061543233
511,NCT of Delhi,1285744.7249058175
512,Odisha,-264079.9554973099
513,Punjab,-246208.17586196942
514,Rajasthan,-246058.27701105582
515,Tamil Nadu,-51014.44070161463
516,Telangana,57751.13435938733
517,Uttar Pradesh,32271.074792503478
518,West Bengal,36470.58859251379
519,Andaman and Nicobar,-58442.3273735949
520,Andhra Pradesh,-44398.92968917906
521,Assam,-23884.543899154516
522,Bihar,94813.10542116048
523,Chandigarh,108721.58580780988
524,Goa,38653.29351530309
525,Gujarat,23297.090172289216
526,Jammu and Kashmir,-38592.03993346338
527,Jharkhand,-41988.30322261021
528,Karnataka,-6061.674568626644
529,Kerala,-23919.343863489456
530,Madhya Pradesh,-12299.636340496249
531,Maharashtra,5971.574103127659
532,NCT of Delhi,157848.32010465366
533,Odisha,-60810.71304466327
534,Punjab,-69186.30107168452
535,Rajasthan,-68904.53971259757
536,Tamil Nadu,-25027.87692852306
537,Telangana,5213.471532440659
538,Uttar Pradesh,37672.64796000718
539,West Bengal,36876.41729497858
540,Andaman and Nicobar,-62228.44599348748
541,Andhra Pradesh,-41710.99823121632
542,Daman and Diu,56939.73182592718
543,Goa,54230.21643237641
544,Gujarat,81055.51884958403
545,Karnataka,-34494.01793374798
546,Kerala,-42568.68595469995
547,Lakshadweep,-24886.696931656013
548,Maharashtra,5726.728804188181
549,Odisha,-43960.80728530891
550,Puducherry,-55709.87764534778
551,Tamil Nadu,-13347.40429189632
552,West Bengal,35306.05034084502
553,Andaman and Nicobar,-182265.852747412
